rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.9503688812255859,success,0.07229466438293457,0.38_0.53_0.5_0.53_0.59,0.63_0.67_0.6_0.6_0.6,0.004145574569702148,0.5077056277056277,0.72,0.69,0.76,0.73,0.6176190476190476,1746733260.217291,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,PCA,4,,58.564780473709106,success,0.012032175064086914,0.42_0.31_0.64_0.67_0.0,0.62_0.55_0.54_0.55_0.53,11.664713191986085,0.4064583333333333,0.57,0.9,0.46,0.8,0.5583333333333333,1746733259.1867104,,RandomForestClassifier,,,,,100,6,,2,4,5,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,1.0,,SelectKBest,,9,87.23766851425171,success,0.018573904037475587,1.0_1.0_0.97_1.0_0.91,0.5_0.5_0.5_0.5_0.52,12.992941236495971,0.974921630094044,0.99,1.0,1.0,0.98,0.5035714285714286,1746733200.5218608,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,0.3036806583404541,success,0.003843879699707031,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.024696540832519532,1.0,1.0,1.0,1.0,1.0,0.5,1746733113.1933045,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.0001,logistic
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,PCA,4,,63.734917879104614,success,0.008966541290283203,0.83_0.5_0.86_0.62_0.72,0.56_0.58_0.51_0.56_0.52,12.701165342330933,0.7055735664931067,0.73,0.94,0.76,0.85,0.5459523809523809,1746733111.2708623,,MLPClassifier,adam,50,,10,,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,0.3030548095703125,success,0.012360572814941406,0.77_0.7_0.86_0.78_0.64,0.54_0.57_0.51_0.6_0.57,0.0052814483642578125,0.7501904493854957,0.86,0.86,0.88,0.8,0.5585714285714285,1746733047.4654481,uniform,KNeighborsClassifier,,,19,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,3,,0.855370044708252,success,0.006676769256591797,0.53_0.0_0.27_0.4_0.0,0.68_0.69_0.69_0.65_0.68,0.13240461349487304,0.2412121212121212,0.72,0.6,0.51,0.7,0.6754761904761905,1746733047.0819674,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,True,,
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,70.97396850585938,success,0.008503103256225586,0.4_0.27_0.0_0.51_0.72,0.62_0.47_0.47_0.52_0.52,14.14392991065979,0.3786280577659888,0.76,0.6,0.58,0.68,0.52,1746733046.1320157,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,1e-05,logistic
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,7,,1.5398712158203125,success,0.008498907089233398,0.42_0.31_0.42_0.39_0.0,0.63_0.6_0.61_0.58_0.54,0.2642375469207764,0.30694444444444446,0.58,0.92,0.31,0.81,0.5916666666666667,1746732975.08697,,RandomForestClassifier,,,,,100,3,,2,3,5,,entropy,True,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,50,0.5,,SelectKBest,,4,81.92954993247986,success,0.006846904754638672,0.83_0.5_0.79_0.83_0.72,0.53_0.58_0.54_0.52_0.51,9.90332384109497,0.7338770999115827,0.82,0.98,0.78,0.86,0.5373809523809523,1746732973.4692447,,RandomForestClassifier,,,,,10,5,,5,4,1,,gini,False,,
