rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,8,0.7559103965759277,success,0.005960798263549805,0.55_0.27_0.31_0.62_0.0,0.63_0.64_0.67_0.61_0.65,0.11264915466308593,0.3499242424242424,0.77,0.72,0.59,0.69,0.6416666666666667,1746722194.193511,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,4,,features_normalization_mitigation_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,5,0.5701985359191895,success,0.007077741622924805,0.0_0.31_0.3_0.42_0.0,0.71_0.59_0.69_0.55_0.6,0.07497653961181641,0.20795454545454545,0.47,0.96,0.23,0.47,0.628095238095238,1746722185.9072647,,RandomForestClassifier,,,,,50,2,,3,2,2,,gini,True,,
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,SelectKBest,,1,0.5811159610748291,success,0.0066432952880859375,0.4_0.31_1.0_1.0_1.0,0.6_0.6_0.5_0.5_0.5,0.07813043594360351,0.7424999999999999,0.87,0.86,0.82,0.89,0.5383333333333333,1746722184.8481236,,RandomForestClassifier,,,,,75,4,,4,2,3,,gini,False,,
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,37.655919790267944,success,0.02199249267578125,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,7.471079969406128,1.0,1.0,1.0,1.0,1.0,0.5,1746722183.8068943,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.01,tanh
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,10,2.0,,PCA,4,,5.775496482849121,success,0.010064315795898438,0.4_0.5_0.62_0.72_0.5,0.62_0.57_0.54_0.54_0.54,1.1106060028076172,0.5503831417624521,0.68,0.94,0.61,0.79,0.5633333333333332,1746722145.6881552,,RandomForestClassifier,,,,,75,3,,4,4,5,,gini,True,,
NearMiss,3,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,0.5162320137023926,success,0.026188993453979494,0.6_0.31_0.36_0.51_0.25,0.59_0.55_0.51_0.49_0.5,0.021251678466796875,0.40721003134796235,0.52,0.8,0.53,0.61,0.5264285714285715,1746722139.4629345,distance,KNeighborsClassifier,,,16,,,,euclidean,,,,,,,,
NearMiss,4,,features_rebalancing_mitigation_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,2.0,,PCA,1,,0.0003895759582519531,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746722138.4867435,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,0.5,,PCA,4,,5.119808673858643,success,0.0072787761688232425,0.4_0.31_0.86_0.69_1.0,0.54_0.55_0.51_0.54_0.5,0.9826593399047852,0.6528448275862069,0.75,0.84,0.84,0.8,0.5297619047619048,1746722138.0352392,,MLPClassifier,sgd,50,,10,,,,,,,constant,,,0.001,tanh
SMOTE,,5,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,900.4409070014954,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746722125.2287703,,MLPClassifier,lbfgs,50,,10,,,,,,,invscaling,,,0.0001,relu
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,6,2.071959972381592,success,0.004061651229858398,0.0_0.38_0.09_0.4_0.0,0.67_0.65_0.7_0.64_0.7,0.36864237785339354,0.17257575757575758,0.78,0.62,0.41,0.45,0.6728571428571429,1746721224.1194518,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,logistic
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,50,1.0,,PCA,4,,0.0004100799560546875,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746721221.5724037,,MLPClassifier,sgd,25,,20,,,,,,,invscaling,,,1e-05,tanh
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,PCA,7,,2.862990140914917,success,0.022611570358276368,0.86_0.75_0.76_0.83_0.97,0.54_0.56_0.53_0.52_0.5,0.5060909271240235,0.8358045977011495,0.86,1.0,0.92,0.92,0.5283333333333333,1746721221.1225538,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,2.0,,SelectKBest,,2,12.103527069091797,fail,0.01676177978515625,0.0_0.0_nan_nan_nan,0.51_0.49_0.5_0.5_0.5,0.6212888240814209,-inf,0.08,0.5,0.0,0.24,0.5009523809523809,1746721217.7901967,uniform,KNeighborsClassifier,,,13,,,,minkowski,,,,,,,,
NearMiss,4,,mitigation_normalization_features_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,50,1.0,,SelectKBest,,1,11.92866849899292,success,0.006598091125488282,0.42_0.5_0.62_0.58_0.66,0.61_0.58_0.53_0.51_0.52,1.121873426437378,0.5545300878972279,0.66,0.95,0.59,0.77,0.5495238095238095,1746721205.2087407,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,rebalancing_normalization_features_mitigation_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.39812421798706055,success,0.006147050857543945,0.0_0.0_0.42_0.39_0.0,0.68_0.58_0.58_0.55_0.64,0.043358898162841795,0.16111111111111112,0.52,1.0,0.16,0.52,0.606904761904762,1746721192.821075,,RandomForestClassifier,,,,,10,4,,6,2,3,,gini,True,,
SMOTE,,6,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,1,,0.00048470497131347656,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746721191.9741619,,RandomForestClassifier,,,,,100,2,,5,4,5,,entropy,False,,
