rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,8,4.291534423828125e-06,already_evaluated,0.0321075439453125,0.44_0.46_0.61_0.39_0.53,0.67_0.65_0.66_0.66_0.66,0.07425603866577149,0.4850146796957661,0.69,0.7,0.72,1.0,0.49,0.67,0.72,0.6586127766461676,1746696863.7410207,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
SMOTE,,7,rebalancing_features_mitigation_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,4,,5.0067901611328125e-06,already_evaluated,0.005835676193237304,0.68_0.6_0.7_0.64_0.34,0.65_0.66_0.64_0.65_0.65,1.0142047882080079,0.5923764214143418,0.74,0.75,0.82,1.0,0.61,0.83,0.79,0.6484602639839461,1746696863.7704415,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,1e-05,logistic
NearMiss,3,,normalization_rebalancing_features_mitigation_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,4.291534423828125e-06,already_evaluated,0.008136320114135741,0.54_0.51_0.77_0.59_0.29,0.65_0.65_0.64_0.64_0.64,0.1227647304534912,0.5389134188017605,0.72,0.72,0.82,1.0,0.55,0.81,0.74,0.6447058257196487,1746696863.8027458,,RandomForestClassifier,,,,,25,5,,6,4,1,,gini,True,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.12655162811279297,0.47_0.37_0.4_0.43_0.32,0.67_0.65_0.65_0.67_0.64,0.22229762077331544,0.3983953088957879,0.56,0.63,0.66,1.0,0.4,0.53,0.54,0.6569225927738147,1746696863.8341334,distance,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,7,,4.5299530029296875e-06,already_evaluated,0.006720781326293945,0.26_0.32_0.38_0.27_0.31,0.7_0.7_0.69_0.71_0.69,0.4823664665222168,0.3050159330789658,0.56,0.59,0.64,1.0,0.31,0.57,0.73,0.6980304823241315,1746696863.8664508,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,rebalancing_mitigation_normalization_features_classification,,True,,False,RobustScaler,LFR_wrapper,2.0,100,1.0,,SelectKBest,,4,4.0531158447265625e-06,already_evaluated,0.01310105323791504,0.78_0.45_0.98_0.53_0.31,0.6_0.61_0.5_0.61_0.64,11.686879062652588,0.6098377924593174,0.78,0.79,0.9,1.0,0.64,0.85,0.82,0.5924323762197155,1746696863.9001276,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,3,,features_rebalancing_normalization_mitigation_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.025919628143310548,0.54_0.6_0.55_0.54_0.53,0.64_0.6_0.6_0.65_0.63,6.0407532215118405,0.5533860114316438,0.62,0.68,0.75,1.0,0.59,0.81,0.87,0.6256821559746342,1746696863.936278,,RandomForestClassifier,,,,,100,6,,6,4,5,,entropy,False,,
SMOTE,,8,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.1423851490020752,0.32_0.19_0.35_0.24_0.14,0.67_0.66_0.67_0.67_0.66,0.17433032989501954,0.24822079151271725,0.6,0.66,0.69,1.0,0.25,0.47,0.5,0.6663604093400138,1746696863.9729922,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,4,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.5,,SelectKBest,,3,4.5299530029296875e-06,already_evaluated,0.014355993270874024,0.45_0.52_0.79_0.76_0.27,0.63_0.64_0.6_0.63_0.62,8.606537532806396,0.559295119827102,0.74,0.75,0.84,0.99,0.57,0.87,0.76,0.6217894346297878,1746696864.0098035,,MLPClassifier,adam,10,,5,,,,,,,invscaling,,,0.001,logistic
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,5,9.059906005859375e-06,already_evaluated,0.006223869323730469,0.35_0.22_0.38_0.27_0.34,0.67_0.67_0.67_0.69_0.67,1.4790340423583985,0.31060744886493546,0.45,0.56,0.62,1.0,0.31,0.58,0.73,0.6730683399022942,1746696864.0479782,,MLPClassifier,sgd,10,,1,,,,,,,constant,,,0.001,logistic
