rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,8,3.337860107421875e-06,already_evaluated,0.010382366180419923,0.29_0.32_0.45_0.38_0.36,0.67_0.7_0.69_0.68_0.67,0.5054644584655762,0.3604279808754904,0.56,0.59,0.67,1.0,0.36,0.67,0.68,0.6824319388701261,1746710913.1961432,,RandomForestClassifier,,,,,50,5,,6,4,4,,gini,False,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,1.0,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.062329673767089845,0.55_0.68_0.79_0.54_0.77,0.65_0.62_0.61_0.61_0.61,14.740752458572388,0.6647244607846923,0.8,0.78,0.85,0.98,0.7,0.91,0.81,0.6208174160869175,1746710913.242092,,MLPClassifier,lbfgs,10,,20,,,,,,,adaptive,,,0.0001,relu
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,10,1.3589859008789062e-05,already_evaluated,0.29343514442443847,0.28_0.2_0.4_0.19_0.13,0.68_0.66_0.66_0.67_0.66,0.10643386840820312,0.24043658167699306,0.55,0.54,0.6,1.0,0.24,0.5,0.51,0.6679934633273577,1746710913.299911,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,5,,6.67572021484375e-06,already_evaluated,0.1699831008911133,0.39_0.4_0.48_0.39_0.25,0.68_0.67_0.67_0.68_0.68,0.09874124526977539,0.38179589035031997,0.7,0.7,0.7,1.0,0.38,0.52,0.53,0.6768778816172658,1746710913.3520439,uniform,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,6,4.0531158447265625e-06,already_evaluated,0.010412836074829101,0.45_0.34_0.47_0.39_0.35,0.68_0.69_0.68_0.68_0.67,0.5735296726226806,0.40079416349009883,0.57,0.6,0.68,1.0,0.4,0.7,0.71,0.6806432454476773,1746710913.4037623,,RandomForestClassifier,,,,,50,5,,5,4,5,,entropy,False,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.055597114562988284,0.99_0.73_0.69_0.55_0.51,0.51_0.61_0.62_0.61_0.64,8.646692132949829,0.691249964727814,0.83,0.79,0.86,0.98,0.75,0.91,0.8,0.5966273339824086,1746710913.4559298,,MLPClassifier,lbfgs,10,,20,,,,,,,constant,,,0.001,relu
NearMiss,2,,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.5,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.012331581115722657,0.51_0.59_0.71_0.6_0.35,0.65_0.63_0.62_0.62_0.63,6.537527370452881,0.5541278126051301,0.75,0.71,0.84,1.0,0.59,0.81,0.73,0.6276650209563975,1746710913.513949,,MLPClassifier,adam,5,,1,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.5,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.01944422721862793,0.99_0.66_0.68_0.76_0.3,0.5_0.62_0.6_0.62_0.64,7.326844310760498,0.6786469969521685,0.87,0.81,0.89,1.0,0.69,0.92,0.82,0.5980584553993744,1746710913.5712814,,RandomForestClassifier,,,,,100,4,,2,1,3,,gini,True,,
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.012329864501953124,0.44_0.53_0.78_0.75_0.3,0.64_0.65_0.6_0.62_0.64,8.075390815734863,0.5575858913880174,0.76,0.76,0.85,0.99,0.56,0.87,0.78,0.6295593917876224,1746710913.6335645,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,0.001,tanh
NearMiss,2,,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,10,0.5,,FunctionTransformer,,,5.4836273193359375e-06,already_evaluated,0.015195798873901368,0.47_0.68_0.71_0.76_0.36,0.62_0.62_0.63_0.62_0.62,7.636976671218872,0.5962510788691765,0.77,0.74,0.83,0.99,0.63,0.89,0.75,0.6244454880916291,1746710913.69642,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,1e-05,relu
