rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,0.6200554370880127,success,0.023990869522094727,0.36_0.14_0.3_0.28_0.22,0.67_0.65_0.67_0.67_0.66,0.042574071884155275,0.2587835362415413,0.63,0.66,0.68,1.0,0.26,0.45,0.48,0.663197901873324,1746721831.7490718,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,PCA,7,,4.2467591762542725,success,0.009771490097045898,0.44_0.42_0.45_0.44_0.3,0.68_0.69_0.69_0.69_0.68,0.7999481201171875,0.41291009912011756,0.55,0.63,0.68,1.0,0.42,0.66,0.73,0.688061736849599,1746721831.095947,,RandomForestClassifier,,,,,50,3,,4,3,5,,entropy,True,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,4,,1.6041722297668457,success,0.008690071105957032,0.53_0.5_0.77_0.59_0.36,0.65_0.65_0.64_0.64_0.64,0.27474069595336914,0.5491654902684241,0.72,0.72,0.82,1.0,0.56,0.81,0.74,0.6450615222499627,1746721826.819304,,RandomForestClassifier,,,,,25,2,,2,3,5,,gini,True,,
NearMiss,2,,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,PCA,4,,0.0003178119659423828,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746721825.1880417,,RandomForestClassifier,,,,,10,4,,4,2,5,,gini,False,,
NearMiss,3,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,0.5,,PCA,2,,0.00048279762268066406,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746721825.1609397,,RandomForestClassifier,,,,,10,6,,2,3,5,,gini,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,5,4.9554338455200195,success,0.006522560119628906,0.35_0.36_0.38_0.41_0.17,0.68_0.69_0.68_0.7_0.68,0.9264914989471436,0.33464366799880424,0.55,0.62,0.65,1.0,0.33,0.6,0.72,0.6876059001588117,1746721824.3315234,,MLPClassifier,lbfgs,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,6.489960193634033,success,0.013586091995239257,0.42_0.4_0.46_0.48_0.46,0.68_0.7_0.69_0.69_0.67,1.2400831222534179,0.4437026493850242,0.63,0.66,0.69,1.0,0.44,0.66,0.71,0.6868281492474073,1746721819.347734,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,2.347980499267578,success,0.1846611976623535,0.39_0.11_0.23_0.34_0.0,0.65_0.64_0.64_0.65_0.63,0.07794055938720704,0.21312020400798692,0.58,0.48,0.59,1.0,0.21,0.38,0.36,0.641984233211511,1746721812.829949,uniform,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,3,1.487215280532837,success,0.12609729766845704,0.47_0.36_0.44_0.46_0.27,0.64_0.64_0.63_0.64_0.63,0.013917779922485352,0.39976978334671487,0.54,0.7,0.74,1.0,0.41,0.71,0.81,0.6367605447609744,1746721810.4555879,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,9.628154993057251,success,0.020480871200561523,0.59_0.43_0.59_0.29_0.27,0.63_0.6_0.61_0.62_0.58,1.8571061134338378,0.43588342112318895,0.56,0.65,0.68,1.0,0.45,0.8,0.84,0.6092624202770525,1746721808.9445431,,RandomForestClassifier,,,,,50,5,,4,4,2,,entropy,False,,
