rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,rebalancing_normalization_features_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699257.3389761,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,7.152557373046875e-06,already_evaluated,0.026703643798828124,0.38_0.66_0.0_0.3_0.0,0.63_0.63_0.63_0.61_0.64,4.859785556793213,0.2678521611876324,0.6,0.64,0.73,0.78,0.29,0.74,0.65,0.6264371308952121,1746699257.3834634,,RandomForestClassifier,,,,,100,4,,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,7.152557373046875e-06,already_evaluated,0.02160053253173828,0.38_0.32_0.0_0.6_0.0,0.63_0.61_0.63_0.62_0.64,6.051250696182251,0.2595986937197316,0.57,0.67,0.75,0.78,0.28,0.69,0.63,0.6248008269492433,1746699257.437776,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,7.62939453125e-06,already_evaluated,0.023143577575683593,0.28_0.09_0.0_0.0_0.09,0.67_0.65_0.67_0.67_0.66,0.04206714630126953,0.0915076846590038,0.56,0.62,0.6,1.0,0.09,0.37,0.42,0.663197901873324,1746699257.48456,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,8,,6.9141387939453125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699257.531978,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,7,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,7,,1.2159347534179688e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699257.5759327,,RandomForestClassifier,,,,,10,4,,2,1,3,,entropy,False,,
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,8,,7.867813110351562e-06,already_evaluated,0.010747146606445313,0.39_0.27_0.0_0.16_0.33,0.65_0.66_0.65_0.64_0.65,0.44509363174438477,0.23111668963492807,0.5,0.69,0.67,0.91,0.29,0.71,0.61,0.6517642901875201,1746699257.621607,,RandomForestClassifier,,,,,75,5,,4,2,1,,gini,True,,
SMOTE,,8,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,4,,5.9604644775390625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699257.6660304,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,5,7.152557373046875e-06,already_evaluated,0.006171464920043945,0.36_0.19_0.0_0.22_0.09,0.68_0.69_0.68_0.7_0.68,0.8956540584564209,0.17304159854338086,0.4,0.57,0.55,1.0,0.17,0.53,0.65,0.6876059001588117,1746699257.7109528,,MLPClassifier,lbfgs,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,7.867813110351562e-06,already_evaluated,0.013747406005859376,0.26_0.39_0.0_0.3_0.25,0.68_0.7_0.69_0.69_0.67,1.237647294998169,0.23911797852199515,0.51,0.6,0.58,0.99,0.25,0.6,0.67,0.6868281492474073,1746699257.7581563,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.52587890625e-05,already_evaluated,0.17600150108337403,0.29_0.11_0.0_0.32_0.0,0.65_0.64_0.64_0.65_0.63,0.2390137195587158,0.1439056869174725,0.48,0.43,0.52,1.0,0.17,0.38,0.31,0.641984233211511,1746699257.8070412,uniform,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,3,8.821487426757812e-06,already_evaluated,0.129761266708374,0.34_0.13_0.27_0.26_0.25,0.64_0.64_0.63_0.64_0.63,0.014171409606933593,0.24817844682739204,0.47,0.63,0.65,0.97,0.25,0.67,0.81,0.6367605447609744,1746699257.879552,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,7.867813110351562e-06,already_evaluated,0.022386646270751952,0.5_0.34_0.52_0.1_0.13,0.63_0.6_0.61_0.62_0.58,2.3619102478027343,0.3171277369604784,0.48,0.54,0.62,0.93,0.35,0.76,0.83,0.6092624202770525,1746699257.9402702,,RandomForestClassifier,,,,,50,5,,4,4,2,,entropy,False,,
