rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,LFR_wrapper,0.5,10,2.0,,PCA,6,,4.5299530029296875e-06,already_evaluated,0.008472442626953125,0.96_0.9_1.0_1.0_1.0,0.54_0.55_0.5_0.5_0.5,0.9761114597320557,0.9727272727272727,0.98,1.0,0.98,0.98,0.5180952380952382,1746707656.2195218,,RandomForestClassifier,,,,,25,4,,5,3,3,,gini,False,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.0039365291595458984,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.016374969482421876,1.0,1.0,1.0,1.0,1.0,0.5,1746707656.25961,,RandomForestClassifier,,,,,10,2,,5,1,1,,gini,True,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,100,1.0,,SelectKBest,,7,3.5762786865234375e-06,already_evaluated,0.0062904834747314455,0.81_0.63_0.84_0.79_0.38,0.58_0.59_0.54_0.56_0.52,0.9221786975860595,0.6904518195953532,0.81,0.9,0.84,0.92,0.5583333333333332,1746707656.2988029,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,relu
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,3.337860107421875e-06,already_evaluated,0.0034629344940185548,0.33_0.72_0.55_0.81_0.17,0.63_0.64_0.61_0.61_0.53,0.14040021896362304,0.5160745479242077,0.81,0.99,0.55,0.82,0.6042857142857143,1746707656.3381124,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,100,0.1,,SelectKBest,,5,5.0067901611328125e-06,already_evaluated,0.009947443008422851,1.0_1.0_0.97_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.1850135326385498,0.9944954128440366,0.99,1.0,1.0,1.0,0.5002380952380953,1746707656.381759,,RandomForestClassifier,,,,,75,6,,5,2,3,,entropy,False,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,5,,5.245208740234375e-06,already_evaluated,0.012970781326293946,0.41_0.55_0.53_0.73_0.45,0.67_0.67_0.7_0.64_0.66,0.030228900909423827,0.5359069478908188,0.93,0.95,0.54,0.85,0.6707142857142857,1746707656.4282622,uniform,KNeighborsClassifier,,,13,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,2.0,50,0.1,,SelectKBest,,4,5.7220458984375e-06,already_evaluated,0.005515241622924804,0.95_1.0_0.99_1.0_1.0,0.54_0.5_0.51_0.5_0.5,0.7442227363586426,0.9887533729087966,1.0,1.0,0.99,1.0,0.509047619047619,1746707656.4763713,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,logistic
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,5.0067901611328125e-06,already_evaluated,0.018609094619750976,0.81_0.9_0.95_0.89_0.74,0.63_0.5_0.5_0.51_0.53,1.31223521232605,0.8583362693010518,0.88,1.0,0.89,0.93,0.5347619047619048,1746707656.5273123,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.06276888847351074,1.0_0.88_0.99_1.0_0.94,0.5_0.53_0.5_0.5_0.53,0.9342879772186279,0.9626726564665044,0.96,1.0,0.99,0.98,0.5116666666666666,1746707656.5802405,uniform,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,1.0,,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,0.07364387512207031,0.95_0.46_0.99_0.98_1.0,0.53_0.49_0.51_0.49_0.5,1.7529861450195312,0.8784410146647496,0.95,0.89,1.0,0.92,0.505,1746707656.636911,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,PCA,6,,3.5762786865234375e-06,already_evaluated,0.007409334182739258,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,1.4572961330413818,-inf,-inf,-inf,-inf,-inf,0.5,1746707656.6886766,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,2.0,200,0.1,,SelectKBest,,2,3.814697265625e-06,already_evaluated,0.006335783004760742,1.0_1.0_0.97_0.9_0.9,0.5_0.5_0.5_0.52_0.54,1.3056680679321289,0.9544954128440366,0.96,1.0,0.96,0.98,0.5119047619047619,1746707656.7414818,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,0.5,,PCA,8,,3.5762786865234375e-06,already_evaluated,0.018580818176269533,1.0_1.0_0.97_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.7321945190429687,0.9944954128440366,0.99,1.0,1.0,1.0,0.5002380952380953,1746707656.7952287,uniform,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,9.059906005859375e-06,already_evaluated,0.005455303192138672,1.0_0.9_0.97_1.0_0.9,0.5_0.57_0.5_0.5_0.54,1.541395330429077,0.9544954128440366,0.96,1.0,0.96,0.97,0.5223809523809524,1746707656.852513,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,0.001,relu
