rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,rebalancing_normalization_features_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,0.5394394397735596,success,0.004628992080688477,0.71_0.6_0.66_0.58_0.36,0.66_0.63_0.63_0.55_0.53,0.06840376853942871,0.5811169526192461,0.64,0.94,0.7,0.79,0.5997619047619047,1746720689.6582866,,RandomForestClassifier,,,,,10,2,,5,2,1,,entropy,True,,
SMOTE,,5,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,780.3833422660828,success,0.048269224166870114,0.46_0.66_0.6_0.75_0.58,0.69_0.62_0.63_0.63_0.61,156.0012746334076,0.612252962104073,0.89,0.92,0.74,0.7,0.6378571428571429,1746720681.9005215,,MLPClassifier,lbfgs,50,,10,,,,,,,invscaling,,,0.0001,relu
FunctionTransformer,,,rebalancing_features_normalization_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.29309701919555664,success,0.02101922035217285,0.79_0.79_0.83_0.81_0.77,0.6_0.66_0.59_0.57_0.62,0.005284404754638672,0.7971859224564142,0.97,0.98,0.89,0.82,0.6080952380952381,1746719900.8688343,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,12.013336896896362,success,0.006684350967407227,0.77_0.74_0.54_0.67_0.74,0.61_0.59_0.54_0.51_0.52,2.375744581222534,0.6927895202670198,0.74,1.0,0.78,0.83,0.5526190476190476,1746719900.1404555,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,2.0,50,0.5,,FunctionTransformer,,,3.702171802520752,fail,0.006461620330810547,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.7128608226776123,-inf,-inf,-inf,-inf,-inf,0.5,1746719887.6912742,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,1e-05,logistic
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,2.0,,PCA,4,,0.0005016326904296875,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746719883.549745,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,7,normalization_rebalancing_mitigation_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,8,,0.2912173271179199,success,0.005432844161987305,0.33_0.58_0.52_0.63_0.57,0.64_0.68_0.63_0.61_0.64,0.032819938659667966,0.527984962406015,0.93,0.7,0.62,0.9,0.6404761904761905,1746719883.1143255,,RandomForestClassifier,,,,,10,4,,2,4,3,,gini,False,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,2,0.2142655849456787,success,0.011749029159545898,0.9_0.8_0.9_0.92_0.86,0.65_0.57_0.62_0.63_0.62,0.0046082019805908205,0.8756191884341289,0.89,0.94,1.0,0.91,0.6180952380952381,1746719882.3886876,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,0.1,,PCA,4,,0.0004177093505859375,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746719881.748538,uniform,KNeighborsClassifier,,,4,,,,minkowski,,,,,,,,
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,2,0.39111971855163574,success,0.017495393753051758,0.59_0.68_0.72_0.41_0.27,0.62_0.61_0.54_0.62_0.55,0.029715728759765626,0.531987012987013,0.66,1.0,0.56,0.78,0.5864285714285714,1746719881.2682505,uniform,KNeighborsClassifier,,,5,,,,minkowski,,,,,,,,
