rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,3,6.202133655548096,success,0.008523845672607422,0.1_0.15_0.13_0.11_0.13,0.69_0.7_0.7_0.69_0.69,1.1649680137634277,0.1239830960237436,0.97,0.35,0.48,0.15,0.93,0.17,0.6941433963444845,1746714142.4227154,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,PCA,8,,53.34313893318176,success,0.015200471878051758,0.03_0.03_0.03_0.04_0.04,0.63_0.64_0.64_0.64_0.64,10.584912014007568,0.03480145320851119,0.96,0.04,0.82,0.89,0.09,0.86,0.6397320760397337,1746714195.8352773,,MLPClassifier,sgd,25,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.5,,FunctionTransformer,,,19.685821056365967,fail,0.03655595779418945,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.812185192108154,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714215.5949974,,RandomForestClassifier,,,,,100,4,,2,1,3,,gini,True,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,20.797512769699097,success,0.02876124382019043,0.02_0.03_0.04_0.02_0.02,0.73_0.74_0.74_0.73_0.74,4.048148918151855,0.025328081681073582,0.65,0.03,0.85,0.61,1.0,0.85,0.7362716182977882,1746714236.4636233,,RandomForestClassifier,,,,,100,2,,4,4,3,,entropy,False,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,0.5,,PCA,6,,11.0901198387146,fail,0.035834550857543945,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.104592132568359,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714247.6253607,,RandomForestClassifier,,,,,10,6,,4,1,1,,entropy,True,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,368.2062199115753,success,0.1579526901245117,0.23_0.15_0.19_0.19_0.2,0.8_0.8_0.8_0.81_0.8,73.2266740322113,0.19184545289129504,0.77,0.23,0.55,0.19,1.0,0.52,0.8000876160558107,1746714615.9042683,,MLPClassifier,sgd,50,,10,,,,,,,constant,,,0.0001,tanh
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,1.5060145854949951,success,0.05358724594116211,0.48_0.53_0.51_0.53_0.54,0.59_0.59_0.59_0.59_0.59,0.13902339935302735,0.5176263494874931,1.0,0.52,0.9,0.78,0.87,0.65,0.5924533378678662,1746714617.4887679,distance,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,50,0.5,,PCA,3,,18.718934297561646,success,0.033646774291992185,0.41_0.33_0.61_0.59_0.26,0.53_0.51_0.52_0.52_0.5,3.624151182174683,0.4408591273635586,0.67,0.71,0.47,0.65,0.83,0.9,0.5132099605302299,1746714636.2899566,,RandomForestClassifier,,,,,75,6,,3,4,2,,gini,False,,
SMOTE,,5,mitigation_features_normalization_rebalancing_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,23.805387258529663,success,1.9919636726379395,0.21_0.22_0.34_0.27_0.24,0.75_0.76_0.76_0.76_0.76,0.7630531787872314,0.2563342596641142,0.81,0.32,0.54,0.26,0.99,0.48,0.758428753100785,1746714661.1034768,distance,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,10,0.7144122123718262,fail,0.008853435516357422,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.05736947059631348,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714661.9007976,,RandomForestClassifier,,,,,10,3,,3,1,1,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,PCA,4,,15.351288318634033,fail,0.035476398468017575,nan_0.0_nan_0.0_0.0,0.5_0.5_0.5_0.5_0.5,2.9576504230499268,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.4999849692517596,1746714677.3314452,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,SelectKBest,,6,29.893261909484863,success,0.00923004150390625,0.07_0.08_0.08_0.08_0.08,0.67_0.67_0.67_0.68_0.67,5.407292366027832,0.07759754297974594,0.24,0.08,0.59,0.21,1.0,0.8,0.671528524890222,1746714707.305231,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,0.1,,FunctionTransformer,,,23.70370364189148,success,0.02776656150817871,0.72_0.31_0.61_0.57_0.71,0.53_0.51_0.52_0.5_0.51,4.63317904472351,0.5855478338760317,0.81,0.83,0.67,0.84,0.85,0.87,0.5110435086926205,1746714731.0907364,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,2.0,,SelectKBest,,10,44.109471559524536,success,0.029062938690185548,0.35_0.23_0.57_0.7_0.65,0.49_0.5_0.48_0.51_0.5,6.031766128540039,0.4987639336413633,0.72,0.73,0.76,0.7,0.72,0.77,0.4957945520377468,1746714775.2863154,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,1e-05,relu
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,27.66640067100525,fail,0.02429685592651367,1.0_1.0_1.0_1.0_nan,0.5_0.5_0.5_0.5_0.5,5.432730102539063,-inf,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1746714803.0523636,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.75,PCA,4,,86.1643750667572,success,0.011559391021728515,0.01_0.01_0.01_0.0_0.01,0.64_0.64_0.64_0.63_0.63,17.147790813446044,0.006420449082784174,1.0,0.01,0.53,0.75,0.5,0.63,0.6349432539375816,1746714889.2999668,,MLPClassifier,sgd,10,,5,,,,,,,constant,,,0.01,relu
NearMiss,3,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,16.681631803512573,success,0.9805050849914551,0.29_0.32_0.32_0.32_0.31,0.68_0.7_0.69_0.69_0.69,1.3237164497375489,0.3103581389551099,0.39,0.31,0.56,0.83,0.98,1.0,0.6889443062193704,1746714907.245527,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,2.0,,FunctionTransformer,,,11.308964967727661,success,0.023086690902709962,0.6_0.76_0.56_0.55_0.68,0.48_0.49_0.49_0.5_0.49,2.155673122406006,0.6291206663773699,0.71,0.67,0.92,0.64,0.8,0.87,0.49056363348695964,1746714918.6464186,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,10,274.5350615978241,success,0.11709656715393066,0.23_0.18_0.25_0.24_0.23,0.81_0.8_0.81_0.81_0.8,54.5471293926239,0.22740004268159927,0.71,0.24,0.69,0.23,1.0,0.48,0.8065498950777888,1746715193.2722256,,MLPClassifier,lbfgs,50,,5,,,,,,,constant,,,0.01,tanh
