rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,4,,rebalancing_features_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.004198884963989258,0.18_0.55_0.85_0.94_0.44,0.58_0.62_0.7_0.65_0.69,0.27974977493286135,0.5924823239509956,0.84,0.98,0.61,0.83,0.6490476190476191,1746694688.924653,MLPClassifier,adam,5,10,,,,,,invscaling,,,0.0001,logistic
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,7,4.5299530029296875e-06,already_evaluated,0.009302091598510743,0.55_0.56_0.84_0.7_0.36,0.68_0.6_0.62_0.65_0.54,0.14689035415649415,0.6028701079622133,0.77,0.94,0.66,0.79,0.6166666666666666,1746694688.9988275,RandomForestClassifier,,,,100,3,5,4,1,,gini,False,,
NearMiss,4,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.5,,SelectKBest,,3,3.5762786865234375e-06,already_evaluated,0.005640649795532226,0.84_0.68_0.86_0.73_0.41,0.56_0.58_0.55_0.55_0.51,0.6146467208862305,0.7039416929458362,0.76,0.99,0.78,0.9,0.5504761904761905,1746694689.0742686,MLPClassifier,adam,10,5,,,,,,invscaling,,,0.001,logistic
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,5,3.814697265625e-06,already_evaluated,0.0037651538848876955,0.4_0.77_0.69_0.38_0.48,0.69_0.66_0.65_0.62_0.59,0.296000337600708,0.5431492921492922,0.81,0.98,0.61,0.82,0.64,1746694689.1509507,MLPClassifier,sgd,10,1,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,4,3.814697265625e-06,already_evaluated,0.0038595199584960938,0.89_0.83_0.74_0.87_0.83,0.71_0.65_0.59_0.62_0.61,0.21381473541259766,0.8329221408376272,0.9,0.95,0.97,0.87,0.6371428571428572,1746694689.228582,MLPClassifier,lbfgs,10,5,,,,,,invscaling,,,0.0001,relu
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.010040807723999023,1.0_0.82_1.0_0.48_1.0,0.5_0.59_0.5_0.57_0.5,1.04848313331604,0.8589344262295082,0.9,1.0,0.88,0.95,0.5302380952380952,1746694689.3093877,MLPClassifier,adam,10,10,,,,,,adaptive,,,0.001,logistic
NearMiss,3,,mitigation_normalization_rebalancing_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.814697265625e-06,already_evaluated,0.009951639175415038,0.65_0.53_0.65_0.42_0.65,0.49_0.59_0.54_0.57_0.48,3.3924304008483888,0.5821385520350058,0.83,0.72,0.91,0.85,0.5364285714285715,1746694689.389954,RandomForestClassifier,,,,75,2,5,4,4,,entropy,True,,
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,100,0.5,,SelectKBest,,6,4.0531158447265625e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694689.4735246,MLPClassifier,sgd,5,1,,,,,,constant,,,0.0001,logistic
NearMiss,2,,features_rebalancing_normalization_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,1,4.5299530029296875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694689.5567093,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.001,tanh
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,3.5762786865234375e-06,already_evaluated,0.00490117073059082,0.9_0.9_1.0_1.0_1.0,0.55_0.52_0.5_0.5_0.5,0.3313100337982178,0.96,0.97,1.0,0.96,0.97,0.5147619047619048,1746694689.6403666,MLPClassifier,sgd,10,20,,,,,,constant,,,0.001,logistic
