rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,50,0.5,,PCA,8,,4.5299530029296875e-06,already_evaluated,0.008341598510742187,0.84_0.6_0.62_0.56_0.38,0.56_0.55_0.5_0.45_0.53,1.1477458477020264,0.6000330110538838,0.71,1.0,0.69,0.73,0.5216666666666667,1746694700.9987087,MLPClassifier,lbfgs,50,10,,,,,,constant,,,0.001,logistic
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,0.5,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.008539342880249023,1.0_0.59_0.68_0.0_0.84,0.5_0.54_0.58_0.53_0.61,0.8346404552459716,0.6216223089648004,0.78,0.97,0.73,0.78,0.5504761904761905,1746694701.1839106,MLPClassifier,adam,10,5,,,,,,adaptive,,,1e-05,relu
SMOTE,,5,features_normalization_mitigation_rebalancing_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,10,4.76837158203125e-06,already_evaluated,0.005922842025756836,0.29_0.79_0.7_0.8_0.57,0.63_0.63_0.65_0.65_0.68,0.04048566818237305,0.6312730206486101,0.99,0.86,0.68,0.76,0.6492857142857142,1746694701.3673377,RandomForestClassifier,,,,25,3,5,1,4,,entropy,True,,
NearMiss,2,,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.1,,PCA,5,,5.0067901611328125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694701.556485,MLPClassifier,adam,5,5,,,,,,constant,,,0.01,relu
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,5.9604644775390625e-06,already_evaluated,0.005233335494995117,0.69_0.64_0.66_0.56_0.42,0.71_0.65_0.71_0.56_0.65,0.07677912712097168,0.5951471362480538,0.68,1.0,0.66,0.73,0.6552380952380952,1746694701.7456112,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,rebalancing_features_normalization_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,SelectKBest,,1,5.0067901611328125e-06,already_evaluated,0.004206037521362305,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.3719987392425537,1.0,1.0,1.0,1.0,1.0,0.5,1746694701.9331093,MLPClassifier,sgd,5,20,,,,,,adaptive,,,1e-05,logistic
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,200,2.0,,SelectKBest,,6,3.814697265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694702.1213753,MLPClassifier,lbfgs,50,10,,,,,,constant,,,1e-05,logistic
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,200,2.0,,PCA,8,,2.09808349609375e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694702.3130307,MLPClassifier,sgd,25,1,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,8,,3.337860107421875e-06,already_evaluated,0.008077621459960938,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.07967281341552734,1.0,1.0,1.0,1.0,1.0,0.5,1746694702.5045543,RandomForestClassifier,,,,50,5,4,1,2,,entropy,False,,
NearMiss,3,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,200,0.5,,SelectKBest,,3,1.3828277587890625e-05,already_evaluated,0.008992481231689452,0.49_0.71_0.96_0.42_0.74,0.46_0.48_0.51_0.52_0.53,0.6934614181518555,0.6631844789351473,0.86,0.74,0.93,0.84,0.5002380952380953,1746694702.697338,RandomForestClassifier,,,,75,2,2,4,1,,gini,True,,
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694702.8921523,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,4,,4.5299530029296875e-06,already_evaluated,0.006630802154541015,0.98_0.99_1.0_0.9_0.98,0.5_0.51_0.5_0.51_0.52,0.07750301361083985,0.9713026669759431,0.99,1.0,0.98,1.0,0.5071428571428571,1746694703.0848658,RandomForestClassifier,,,,50,6,5,1,2,,entropy,True,,
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,1,,5.0067901611328125e-06,already_evaluated,0.0032849788665771486,0.91_0.9_0.97_0.9_1.0,0.54_0.55_0.5_0.52_0.5,0.019086551666259766,0.9355200807757255,0.97,1.0,0.95,0.96,0.5233333333333333,1746694703.2821896,RandomForestClassifier,,,,10,5,5,3,4,,entropy,False,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.0054290771484375,1.0_1.0_1.0_0.9_1.0,0.5_0.5_0.5_0.52_0.5,0.9471717357635498,0.9800000000000001,0.99,1.0,0.98,1.0,0.5038095238095238,1746694703.47732,MLPClassifier,lbfgs,10,1,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,2.0,,FunctionTransformer,,,1.4066696166992188e-05,already_evaluated,0.006842613220214844,0.97_0.9_0.91_0.93_0.9,0.57_0.52_0.51_0.54_0.52,0.4699519157409668,0.9202941028662048,0.95,0.98,0.95,0.98,0.531904761904762,1746694703.673038,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.01,logistic
SMOTE,,6,rebalancing_features_mitigation_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.0033805370330810547,0.13_0.0_0.12_0.0_0.0,0.62_0.57_0.55_0.56_0.54,0.14216575622558594,0.049945054945054954,0.85,0.99,0.05,0.9,0.5664285714285715,1746694703.8695588,MLPClassifier,sgd,5,1,,,,,,constant,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,4,,4.5299530029296875e-06,already_evaluated,0.0026380062103271485,0.58_0.48_0.74_0.67_0.15,0.64_0.65_0.57_0.61_0.55,0.10744848251342773,0.5248386123100536,0.64,0.98,0.67,0.63,0.6023809523809524,1746694704.0687847,MLPClassifier,adam,10,20,,,,,,invscaling,,,1e-05,relu
NearMiss,3,,rebalancing_features_normalization_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,PCA,5,,4.0531158447265625e-06,already_evaluated,0.006861686706542969,0.73_0.48_0.62_0.38_0.36,0.67_0.6_0.56_0.54_0.52,0.11681652069091797,0.5136268810190828,0.64,1.0,0.61,0.74,0.5780952380952382,1746694704.2681694,RandomForestClassifier,,,,25,3,5,3,3,,entropy,True,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,4,,2.5987625122070312e-05,already_evaluated,0.0067084312438964845,0.8_0.9_0.97_0.8_0.9,0.56_0.53_0.5_0.54_0.52,0.023257637023925783,0.8744954128440368,0.95,1.0,0.88,0.95,0.530952380952381,1746694704.4799542,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,False,,True,,StandardScaler,LFR_wrapper,2.0,200,2.0,,PCA,1,,5.7220458984375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694704.6845593,MLPClassifier,sgd,5,1,,,,,,adaptive,,,1e-05,logistic
SMOTE,,5,rebalancing_normalization_features_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,8,,5.245208740234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694704.8911567,MLPClassifier,lbfgs,50,10,,,,,,adaptive,,,1e-05,relu
NearMiss,4,,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,2,1.0967254638671875e-05,already_evaluated,0.005427789688110351,0.75_0.49_0.63_0.58_0.14,0.66_0.66_0.56_0.59_0.53,0.14905118942260742,0.5183947402552054,0.81,0.82,0.59,0.93,0.6,1746694705.0982509,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,1,,5.0067901611328125e-06,already_evaluated,0.007381296157836914,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.3070715427398683,1.0,1.0,1.0,1.0,1.0,0.5,1746694705.3066678,MLPClassifier,lbfgs,25,10,,,,,,adaptive,,,0.0001,logistic
NearMiss,2,,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,1.2636184692382812e-05,already_evaluated,0.004300451278686524,0.6_0.36_0.44_0.44_0.38,0.63_0.63_0.48_0.61_0.51,0.02197685241699219,0.44359928443649377,0.71,1.0,0.44,0.9,0.5742857142857143,1746694705.5163925,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
NearMiss,3,,rebalancing_features_normalization_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,5,,4.5299530029296875e-06,already_evaluated,0.004712486267089843,0.8_0.48_0.69_0.54_0.48,0.66_0.61_0.59_0.55_0.5,0.061789655685424806,0.5973754427390792,0.67,1.0,0.68,0.72,0.5802380952380952,1746694705.7261007,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
NearMiss,2,,rebalancing_normalization_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.004958152770996094,0.39_0.69_0.73_0.68_0.44,0.65_0.69_0.66_0.62_0.61,0.2829416751861572,0.5855463820437607,0.74,0.96,0.65,0.77,0.6442857142857144,1746694705.9349906,MLPClassifier,adam,25,1,,,,,,invscaling,,,1e-05,logistic
SMOTE,,5,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,10,1.0,,PCA,4,,4.76837158203125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694706.1454072,MLPClassifier,adam,5,20,,,,,,constant,,,1e-05,logistic
NearMiss,3,,mitigation_normalization_features_rebalancing_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,5,,4.291534423828125e-06,already_evaluated,0.006360816955566406,0.0_0.0_0.0_0.0_0.0,0.58_0.54_0.5_0.57_0.51,0.07552194595336914,0.0,0.82,0.16,0.0,1.0,0.539047619047619,1746694706.3583333,RandomForestClassifier,,,,50,4,6,1,2,,entropy,True,,
SMOTE,,7,normalization_mitigation_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.1,,SelectKBest,,10,7.867813110351562e-06,already_evaluated,0.00721583366394043,nan_nan_1.0_0.0_nan,0.5_0.5_0.5_0.5_0.5,0.9909104347229004,-inf,1.0,0.5,0.5,0.5,0.49976190476190474,1746694706.5758984,MLPClassifier,adam,25,5,,,,,,constant,,,0.0001,logistic
NearMiss,2,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,100,2.0,,PCA,6,,2.288818359375e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694706.794487,MLPClassifier,sgd,10,1,,,,,,constant,,,0.01,logistic
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,8,,4.5299530029296875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694707.0147772,MLPClassifier,sgd,50,1,,,,,,adaptive,,,0.001,tanh
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,6,,4.291534423828125e-06,already_evaluated,0.0032670021057128905,0.59_0.9_0.56_0.76_0.91,0.59_0.56_0.61_0.57_0.55,0.025199127197265626,0.7427855559683401,0.92,0.97,0.81,0.9,0.5747619047619047,1746694707.230284,RandomForestClassifier,,,,10,4,5,4,3,,gini,False,,
SMOTE,,8,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,5,,3.814697265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694707.4475868,MLPClassifier,adam,50,1,,,,,,constant,,,0.01,logistic
SMOTE,,6,rebalancing_features_mitigation_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.005253648757934571,0.16_0.82_0.77_0.76_0.55,0.63_0.62_0.61_0.62_0.65,0.8817315578460694,0.6115116307426419,0.97,0.79,0.75,0.84,0.6245238095238095,1746694707.6698074,MLPClassifier,lbfgs,10,10,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,3,,1.7642974853515625e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694707.8980744,MLPClassifier,lbfgs,10,20,,,,,,invscaling,,,0.01,tanh
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,5.7220458984375e-06,already_evaluated,0.004434013366699218,0.51_0.59_0.65_0.68_0.41,0.66_0.67_0.69_0.65_0.7,0.022080373764038087,0.5681596920627945,0.95,0.8,0.65,0.86,0.674047619047619,1746694708.1186578,RandomForestClassifier,,,,10,3,4,3,3,,gini,True,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,5,,6.198883056640625e-06,already_evaluated,0.0065266132354736325,0.94_0.98_1.0_0.9_1.0,0.51_0.51_0.5_0.51_0.5,0.0774007797241211,0.9638180856689582,0.99,1.0,0.98,0.98,0.5064285714285715,1746694708.3421159,RandomForestClassifier,,,,50,4,4,1,3,,gini,True,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.004532670974731446,0.72_0.87_0.89_0.74_0.87,0.57_0.57_0.55_0.57_0.51,0.1117790699005127,0.8192947888966694,0.9,0.91,0.91,0.91,0.5547619047619048,1746694708.567846,MLPClassifier,lbfgs,5,1,,,,,,invscaling,,,0.0001,logistic
NearMiss,3,,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,8,5.245208740234375e-06,already_evaluated,0.0053924560546875,0.79_0.76_0.72_0.75_0.38,0.66_0.64_0.53_0.59_0.58,0.08893632888793945,0.680165153336767,0.73,1.0,0.78,0.88,0.6023809523809524,1746694708.7917771,RandomForestClassifier,,,,25,4,2,4,5,,entropy,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,SelectKBest,,6,5.9604644775390625e-06,already_evaluated,0.0034723281860351562,0.6_0.74_0.93_0.86_0.77,0.61_0.61_0.67_0.67_0.64,0.09556813240051269,0.7802488317878314,0.88,0.98,0.89,0.87,0.639047619047619,1746694709.0162866,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.01,logistic
NearMiss,3,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,1.7642974853515625e-05,already_evaluated,0.00845928192138672,0.71_0.66_0.87_0.75_0.7,0.58_0.54_0.61_0.55_0.6,2.519703817367554,0.7365982688532182,0.77,0.79,0.95,0.89,0.5747619047619048,1746694709.2442875,MLPClassifier,lbfgs,5,1,,,,,,adaptive,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,8,,1.6450881958007812e-05,already_evaluated,0.007954883575439452,0.39_0.78_0.73_0.77_0.63,0.62_0.61_0.72_0.65_0.68,0.07557644844055175,0.6609190599670964,0.96,0.88,0.7,0.84,0.6547619047619048,1746694709.4708562,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,6,3.5762786865234375e-06,already_evaluated,0.003947019577026367,0.16_0.76_0.29_0.54_0.41,0.68_0.62_0.68_0.66_0.69,0.02232508659362793,0.4319829996487531,0.94,0.87,0.43,0.9,0.6666666666666666,1746694709.6967208,RandomForestClassifier,,,,10,4,4,2,3,,entropy,True,,
SMOTE,,7,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,200,0.5,,SelectKBest,,5,3.337860107421875e-06,already_evaluated,0.0065500736236572266,0.84_0.68_0.84_0.78_0.84,0.56_0.57_0.54_0.56_0.52,10.109212112426757,0.7973360079899724,0.82,0.97,0.87,0.89,0.5519047619047618,1746694709.9248855,RandomForestClassifier,,,,10,2,2,2,3,,gini,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,4,3.814697265625e-06,already_evaluated,0.006375932693481445,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.06341729164123536,1.0,1.0,1.0,1.0,1.0,0.5,1746694710.1549473,RandomForestClassifier,,,,50,2,2,4,1,,gini,False,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,6,3.814697265625e-06,already_evaluated,0.004202890396118164,0.17_0.5_0.28_0.54_0.41,0.69_0.66_0.7_0.62_0.71,0.022881746292114258,0.3779580453163282,0.94,0.65,0.4,0.89,0.6757142857142857,1746694710.3894215,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.0033536434173583986,0.82_0.95_0.72_0.7_0.76,0.59_0.63_0.57_0.61_0.58,0.2660956859588623,0.7906654762998849,0.88,0.93,0.93,0.83,0.5964285714285714,1746694710.623659,MLPClassifier,lbfgs,10,5,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,2.0,,PCA,5,,5.9604644775390625e-06,already_evaluated,0.01281723976135254,1.0_0.98_0.99_0.97_0.97,0.5_0.5_0.51_0.5_0.5,1.1117428302764893,0.9829302490308998,0.99,1.0,1.0,0.99,0.5007142857142857,1746694710.858013,RandomForestClassifier,,,,100,2,3,1,4,,entropy,False,,
NearMiss,2,,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.1,,PCA,4,,2.3365020751953125e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694711.09669,MLPClassifier,lbfgs,5,1,,,,,,adaptive,,,0.0001,relu
SMOTE,,5,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,LFR_wrapper,1.0,50,2.0,,FunctionTransformer,,,5.9604644775390625e-06,already_evaluated,0.007793569564819336,0.64_0.72_0.82_0.4_0.38,0.51_0.58_0.49_0.49_0.64,3.901094102859497,0.5928674720115884,0.77,0.95,0.61,0.92,0.5395238095238095,1746694711.330434,MLPClassifier,sgd,25,10,,,,,,adaptive,,,1e-05,relu
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,SelectKBest,,6,5.4836273193359375e-06,already_evaluated,0.005156850814819336,0.2_0.55_0.69_0.76_0.41,0.69_0.65_0.69_0.57_0.63,0.4498579978942871,0.5217639397639398,0.84,0.99,0.58,0.79,0.645952380952381,1746694711.5691667,MLPClassifier,adam,50,10,,,,,,invscaling,,,0.01,logistic
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.5020370483398438e-05,already_evaluated,0.004452180862426758,0.17_0.73_0.87_0.79_0.49,0.66_0.7_0.65_0.63_0.68,0.40009570121765137,0.6080650338166165,0.98,0.76,0.68,0.88,0.6619047619047619,1746694711.8049297,MLPClassifier,adam,5,1,,,,,,constant,,,0.0001,logistic
SMOTE,,8,normalization_mitigation_rebalancing_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,5,,4.0531158447265625e-06,already_evaluated,0.009305667877197266,0.84_0.6_0.73_0.63_0.74,0.56_0.55_0.55_0.52_0.54,1.585329008102417,0.7085301371214363,0.74,1.0,0.8,0.86,0.5419047619047619,1746694712.0414994,MLPClassifier,lbfgs,5,20,,,,,,constant,,,0.0001,tanh
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.004536581039428711,0.54_0.66_0.46_0.94_0.81,0.61_0.67_0.64_0.62_0.63,0.17725625038146972,0.683110510829809,0.78,0.87,0.86,0.8,0.6333333333333333,1746694712.2798505,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
NearMiss,3,,normalization_rebalancing_mitigation_features_classification,,True,,True,RobustScaler,LFR_wrapper,2.0,200,0.1,,PCA,4,,3.337860107421875e-06,already_evaluated,0.007843589782714844,0.49_0.26_0.51_0.5_0.67,0.65_0.68_0.54_0.49_0.6,1.8466707706451415,0.4870621270621271,0.73,0.99,0.49,0.88,0.5911904761904763,1746694712.5191784,MLPClassifier,lbfgs,10,10,,,,,,adaptive,,,0.01,logistic
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,9,4.291534423828125e-06,already_evaluated,0.009800100326538086,0.89_0.56_0.8_0.41_0.41,0.56_0.56_0.51_0.48_0.51,2.5634243488311768,0.6128888394390283,0.72,1.0,0.65,0.84,0.5245238095238095,1746694712.764838,RandomForestClassifier,,,,75,3,4,2,1,,entropy,False,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,50,0.1,,SelectKBest,,9,3.5762786865234375e-06,already_evaluated,0.0077178955078125,0.89_1.0_1.0_1.0_1.0,0.54_0.5_0.5_0.5_0.5,1.2827906131744384,0.977609108159393,0.98,1.0,0.99,0.98,0.5085714285714286,1746694713.0053725,RandomForestClassifier,,,,25,6,3,2,5,,entropy,False,,
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.005554819107055664,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.4362584114074707,1.0,1.0,1.0,1.0,1.0,0.5,1746694713.2502904,MLPClassifier,sgd,50,5,,,,,,adaptive,,,0.001,logistic
SMOTE,,6,normalization_mitigation_rebalancing_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,200,0.5,,SelectKBest,,2,3.5762786865234375e-06,already_evaluated,0.01240692138671875,0.62_0.6_0.82_0.78_0.63,0.58_0.54_0.53_0.55_0.56,1.1157540798187255,0.689321553969872,0.73,0.9,0.83,0.84,0.5533333333333333,1746694713.4991488,RandomForestClassifier,,,,75,4,4,3,3,,entropy,True,,
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.1,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.006948614120483398,0.56_0.33_0.67_0.63_0.41,0.56_0.48_0.48_0.51_0.51,1.3057854175567627,0.5194556052736481,0.76,0.96,0.55,0.88,0.5109523809523809,1746694713.9444103,MLPClassifier,adam,50,10,,,,,,adaptive,,,0.001,tanh
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.006437921524047851,0.38_0.6_0.65_0.42_0.19,0.57_0.57_0.58_0.54_0.52,0.7346844673156738,0.4489825870646766,0.93,0.88,0.54,0.87,0.5549999999999999,1746694714.1880605,MLPClassifier,lbfgs,50,5,,,,,,constant,,,0.0001,logistic
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,100,1.0,,SelectKBest,,6,5.245208740234375e-06,already_evaluated,0.011798667907714843,0.69_0.48_0.85_0.79_0.41,0.59_0.56_0.54_0.56_0.47,1.9142490386962892,0.643902342306012,0.73,0.97,0.68,0.85,0.5457142857142857,1746694714.4339616,RandomForestClassifier,,,,100,4,5,2,3,,entropy,False,,
NearMiss,2,,features_normalization_mitigation_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,6,0.45554161071777344,fail,0.0042897224426269535,0.0_nan_0.76_nan_1.0,0.5_0.5_0.66_0.5_0.5,0.06668310165405274,-inf,0.93,0.59,0.67,0.6,0.5333333333333334,1746694718.792337,MLPClassifier,sgd,5,20,,,,,,constant,,,0.001,tanh
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,PCA,4,,1.098642110824585,success,0.00998702049255371,0.98_0.96_0.94_0.9_0.95,0.51_0.52_0.51_0.51_0.54,0.1853926181793213,0.9487784558752301,0.96,0.99,0.98,0.98,0.5173809523809524,1746694720.1397827,RandomForestClassifier,,,,100,5,5,3,2,,entropy,False,,
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,4,,0.6768765449523926,success,0.005533552169799805,0.87_0.45_0.76_0.29_0.33,0.65_0.63_0.57_0.59_0.62,0.10673389434814454,0.5402353246228242,0.83,0.94,0.55,0.92,0.6152380952380951,1746694721.068877,RandomForestClassifier,,,,10,4,4,2,4,,gini,False,,
