rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,2,,0.20900630950927734,success,0.01121525764465332,0.69_0.81_0.89_0.87_0.8,0.59_0.58_0.54_0.59_0.51,0.0043752193450927734,0.811654618388129,0.89,0.94,0.9,0.89,0.5609523809523809,1746692308.2388277,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,10,0.2224419116973877,success,0.004210090637207032,0.37_0.53_0.85_0.13_0.24,0.59_0.58_0.58_0.57_0.57,0.02067227363586426,0.4231950092636011,0.75,0.97,0.49,0.6,0.578095238095238,1746692304.9748995,,RandomForestClassifier,,,,,10,6,,2,1,3,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.0247538089752197,success,0.06957368850708008,0.62_0.42_0.14_0.64_0.45,0.56_0.56_0.6_0.6_0.63,0.0432403564453125,0.45198014937511627,0.94,0.96,0.5,0.7,0.5916666666666667,1746692304.5119019,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,5,features_mitigation_normalization_rebalancing_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,PCA,7,,6.3433685302734375,success,0.002870988845825195,0.59_0.51_0.71_0.58_0.47,0.68_0.67_0.63_0.67_0.65,1.2483443737030029,0.5759432858563294,0.95,0.87,0.61,0.72,0.6592857142857143,1746692303.2974327,,MLPClassifier,lbfgs,50,,5,,,,,,,invscaling,,,1e-05,tanh
SMOTE,,7,rebalancing_normalization_features_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,6,1.0101256370544434,success,0.004907941818237305,0.83_1.0_0.87_1.0_0.0,0.61_0.5_0.64_0.5_0.54,0.170737361907959,0.7382764189215802,0.9,0.98,0.74,0.94,0.5580952380952381,1746692296.7686036,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,0.001,logistic
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.2771880626678467,success,0.003668212890625,0.26_0.12_0.53_0.25_0.0,0.62_0.6_0.57_0.6_0.58,0.034097719192504886,0.23197759103641458,0.75,1.0,0.23,0.9,0.5964285714285713,1746692295.574924,,RandomForestClassifier,,,,,10,6,,2,4,2,,entropy,False,,
NearMiss,1,,rebalancing_mitigation_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,1.1148080825805664,success,0.009236574172973633,0.81_0.68_0.63_0.48_0.29,0.62_0.63_0.57_0.58_0.53,0.18984851837158204,0.5770678246484697,0.77,0.9,0.62,0.93,0.5845238095238094,1746692295.1157558,,RandomForestClassifier,,,,,100,4,,3,4,2,,gini,False,,
NearMiss,2,,normalization_features_mitigation_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,100,0.1,,PCA,7,,0.0004398822784423828,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692293.8164341,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,PCA,7,,1.3172180652618408,success,0.004760265350341797,0.61_0.6_0.34_0.51_0.24,0.6_0.59_0.58_0.53_0.54,0.23934364318847656,0.45861731950844853,0.75,0.87,0.49,0.71,0.5692857142857143,1746692293.6318352,,MLPClassifier,adam,50,,20,,,,,,,invscaling,,,0.01,relu
NearMiss,4,,normalization_features_mitigation_rebalancing_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.215353012084961,success,0.0057620048522949215,0.83_0.69_0.67_0.58_0.72,0.59_0.54_0.57_0.57_0.51,0.21768078804016114,0.69920478151365,0.72,1.0,0.8,0.79,0.5573809523809523,1746692292.1304905,,MLPClassifier,lbfgs,5,,5,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,7.064007520675659,success,0.034522056579589844,0.89_0.9_0.97_0.76_0.83,0.54_0.57_0.5_0.5_0.52,1.3101133346557616,0.8709137327615272,0.9,1.0,0.9,0.95,0.5266666666666666,1746692288.0053077,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,6,,0.0004248619079589844,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692280.764697,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.5,,SelectKBest,,8,14.365212440490723,success,0.015702199935913087,0.96_1.0_0.8_0.63_0.6,0.54_0.5_0.53_0.51_0.56,1.094324779510498,0.7982318598832361,0.84,1.0,0.86,0.9,0.5273809523809524,1746692280.5880117,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
