rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,1.0,,FunctionTransformer,,,53.70237350463867,success,0.012055301666259765,0.86_1.0_1.0_1.0_1.0,0.54_0.5_0.5_0.5_0.5,10.690154790878296,0.9724137931034482,0.97,1.0,1.0,0.99,0.5076190476190476,1746706630.7048306,,MLPClassifier,lbfgs,10,,20,,,,,,,adaptive,,,0.0001,relu
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,10,1.0252864360809326,success,0.017681646347045898,0.0_0.0_0.41_0.0_0.0,0.67_0.7_0.64_0.66_0.62,0.11394691467285156,0.08285714285714287,0.62,0.53,0.26,0.78,0.6564285714285714,1746706631.800663,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,5,,0.392195463180542,success,0.018886232376098634,0.25_0.44_0.41_0.56_0.61,0.63_0.64_0.59_0.64_0.6,0.009369993209838867,0.45345765345765343,0.54,0.71,0.69,0.53,0.6180952380952381,1746706632.2588255,uniform,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,5,,70.36614179611206,success,0.022415351867675782,0.68_0.7_0.9_0.72_0.25,0.57_0.52_0.51_0.49_0.53,14.005032682418824,0.6492637247809661,0.72,0.92,0.76,0.81,0.5266666666666666,1746706702.710517,uniform,KNeighborsClassifier,,,5,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.4655721187591553,success,0.13323216438293456,0.27_0.53_0.62_0.53_0.59,0.63_0.63_0.62_0.63_0.61,0.007439565658569336,0.5098484848484849,0.77,0.6,0.77,0.73,0.625,1746706705.2671251,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,1,,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,77.29853510856628,success,0.008749723434448242,0.42_0.65_0.52_0.46_0.42,0.54_0.6_0.49_0.53_0.52,15.40592164993286,0.4927757013101841,0.58,0.93,0.62,0.74,0.5349999999999999,1746706782.6274214,,RandomForestClassifier,,,,,10,5,,2,1,3,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.5,,FunctionTransformer,,,63.54220986366272,success,0.015371084213256836,1.0_1.0_1.0_1.0_0.83,0.5_0.5_0.5_0.5_0.52,12.654446506500244,0.9666666666666666,0.98,1.0,0.97,0.98,0.5047619047619047,1746706846.222056,,RandomForestClassifier,,,,,100,4,,2,1,3,,gini,True,,
SMOTE,,5,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,PCA,4,,2.025214195251465,success,0.01011967658996582,0.0_0.42_0.38_0.39_0.41,0.65_0.62_0.64_0.58_0.62,0.35120115280151365,0.3198303229337712,0.62,0.78,0.46,0.65,0.6216666666666667,1746706848.3079965,,RandomForestClassifier,,,,,75,2,,4,4,3,,gini,False,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,PCA,5,,0.5848996639251709,success,0.0076408863067626955,0.23_0.38_0.34_0.42_0.61,0.63_0.63_0.65_0.62_0.56,0.07592415809631348,0.3958874458874459,0.57,0.92,0.55,0.42,0.6166666666666666,1746706848.9443676,distance,KNeighborsClassifier,,,14,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,5,,1.8113367557525635,success,0.004972219467163086,0.75_0.75_0.77_0.61_0.79,0.57_0.57_0.54_0.59_0.54,0.31326751708984374,0.7353883664228491,0.83,0.98,0.79,0.88,0.5595238095238095,1746706850.8114743,,MLPClassifier,adam,10,,1,,,,,,,invscaling,,,0.0001,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,1.2292265892028809,success,0.07327451705932617,0.0_0.44_0.0_0.31_0.42,0.57_0.55_0.63_0.54_0.54,0.06361942291259766,0.23507936507936508,0.66,0.42,0.65,0.63,0.5659523809523809,1746706852.1509507,distance,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,50,0.5,,PCA,3,,71.84624862670898,success,0.01477055549621582,0.77_0.5_0.52_0.59_0.66,0.58_0.59_0.54_0.56_0.54,14.311055326461792,0.6047713727311429,0.66,0.87,0.75,0.79,0.5607142857142856,1746706924.0993729,,RandomForestClassifier,,,,,75,6,,3,4,2,,gini,False,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,5,86.48629522323608,success,0.008777141571044922,0.79_0.58_0.76_0.62_0.42,0.56_0.55_0.54_0.55_0.49,9.099049043655395,0.6338867603235419,0.65,0.94,0.72,0.76,0.5378571428571428,1746707011.8208933,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,8,mitigation_normalization_rebalancing_features_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,4,,0.8799254894256592,success,0.006556034088134766,0.55_0.54_0.31_0.0_0.0,0.59_0.62_0.65_0.62_0.57,0.1377495288848877,0.27972439325380505,0.82,0.49,0.51,0.69,0.6107142857142858,1746707012.7761545,,RandomForestClassifier,,,,,50,3,,5,1,3,,gini,True,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,81.0280191898346,success,0.03160419464111328,0.75_0.63_0.69_0.0_0.42,0.59_0.45_0.51_0.58_0.53,16.10488052368164,0.49887379542551963,0.58,0.76,0.72,0.69,0.5311904761904762,1746707093.8552544,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,4,1.0018386840820312,success,0.00686192512512207,0.0_0.0_0.0_0.0_0.0,0.65_0.69_0.7_0.64_0.69,0.1381955623626709,0.0,0.68,0.17,0.2,0.66,0.6719047619047618,1746707094.9279404,,RandomForestClassifier,,,,,50,3,,2,3,1,,entropy,True,,
SMOTE,,5,mitigation_features_normalization_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,2.0,100,1.0,,SelectKBest,,7,137.48725700378418,success,0.023732995986938475,1.0_0.31_0.95_0.66_1.0,0.5_0.55_0.49_0.49_0.5,15.155912399291992,0.7847439024390244,0.84,0.93,0.82,0.91,0.5054761904761904,1746707232.4950175,uniform,KNeighborsClassifier,,,11,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,2.0,,SelectKBest,,10,110.54068660736084,fail,0.009724617004394531,0.79_nan_nan_0.0_0.42,0.54_0.5_0.5_0.48_0.5,13.821287965774536,-inf,0.51,0.91,0.4,0.65,0.5042857142857142,1746707343.10765,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,1e-05,relu
