rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,5,,0.9503803253173828,success,0.05772562026977539,0.19_0.09_0.0_0.32_0.09,0.67_0.66_0.66_0.67_0.65,0.015637969970703124,0.1383793636635987,0.46,0.55,0.54,1.0,0.14,0.36,0.39,0.663627214049802,1746725641.3009152,distance,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,2,,0.0003578662872314453,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746725640.25726,,MLPClassifier,adam,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,55.56239032745361,success,0.042835569381713866,0.2_0.1_0.0_0.1_0.09,0.69_0.68_0.68_0.7_0.68,10.980686283111572,0.09778776710857398,0.43,0.48,0.53,1.0,0.1,0.46,0.47,0.6882827800848659,1746725640.1575453,,MLPClassifier,adam,25,,5,,,,,,,constant,,,0.001,logistic
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.008432149887085,success,0.19224395751953124,0.2_0.3_0.0_0.12_0.1,0.68_0.66_0.67_0.68_0.65,0.1851421356201172,0.14357618253946774,0.47,0.53,0.56,0.99,0.14,0.44,0.47,0.6677759118257607,1746725584.50233,distance,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,
SMOTE,,6,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,3,,0.00039958953857421875,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746725581.3693674,distance,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.5,,PCA,1,,283.37520384788513,success,0.016039943695068358,0.65_0.35_0.0_0.48_0.0,0.63_0.65_0.61_0.6_0.63,56.586068630218506,0.29359956140487153,0.65,0.7,0.82,0.84,0.29,0.82,0.74,0.6244654579518388,1746725579.3388562,,MLPClassifier,lbfgs,5,,1,,,,,,,adaptive,,,0.01,relu
NearMiss,2,,normalization_rebalancing_features_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,8,,2.047863721847534,success,0.011300277709960938,0.33_0.4_0.0_0.41_0.35,0.65_0.67_0.65_0.68_0.66,0.3282790660858154,0.2983913608453143,0.44,0.62,0.57,1.0,0.3,0.57,0.78,0.663513728733017,1746725295.8415375,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,4,,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,PCA,8,,3.6488451957702637,success,0.2460165023803711,0.35_0.25_0.26_0.14_0.12,0.66_0.66_0.66_0.68_0.66,0.16444215774536133,0.22396687311661417,0.43,0.55,0.57,0.98,0.22,0.56,0.69,0.6643921737936255,1746725293.676487,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,6,7.564996004104614,success,0.19698014259338378,0.17_0.37_0.2_0.38_0.09,0.66_0.67_0.63_0.67_0.65,0.8810522556304932,0.24048961900821925,0.43,0.44,0.55,0.96,0.24,0.48,0.48,0.6552729611234054,1746725289.9327872,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.5523490905761719,success,0.007819843292236329,0.15_0.16_0.0_0.07_0.0,0.67_0.68_0.68_0.67_0.66,0.044557619094848636,0.07504835222699494,0.21,0.29,0.32,1.0,0.08,0.24,0.27,0.6712865694224943,1746725282.2839758,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,3,,3.586103677749634,success,0.010891580581665039,0.0_0.0_0.0_0.0_0.0,0.64_0.64_0.62_0.62_0.63,0.6372112274169922,0.0,0.3,0.44,0.53,1.0,0.0,0.09,0.15,0.6319569375199136,1746725280.0121996,,RandomForestClassifier,,,,,50,4,,2,3,4,,entropy,True,,
SMOTE,,7,features_rebalancing_normalization_mitigation_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,PCA,3,,2.433502435684204,success,0.011612987518310547,0.31_0.22_0.0_0.23_0.0,0.65_0.65_0.64_0.64_0.64,0.41053061485290526,0.15206285775336853,0.52,0.66,0.72,0.8,0.21,0.69,0.67,0.6448853812260449,1746725276.338928,,RandomForestClassifier,,,,,50,4,,2,4,1,,gini,False,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,74.46086812019348,success,0.2094388484954834,0.31_0.53_0.0_0.34_0.3,0.69_0.68_0.68_0.69_0.68,14.390733528137208,0.2960165497237287,0.61,0.61,0.58,0.98,0.3,0.62,0.69,0.6843925454182024,1746725273.8044837,,MLPClassifier,adam,25,,10,,,,,,,invscaling,,,1e-05,logistic
NearMiss,2,,normalization_rebalancing_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,0.0008494853973388672,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746725199.1979117,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,395.86965703964233,success,0.016443586349487303,0.35_0.25_0.0_0.97_0.0,0.65_0.65_0.63_0.5_0.63,79.08566460609435,0.3135927681421514,0.6,0.71,0.77,0.81,0.37,0.72,0.72,0.6147241831433345,1746725199.1161332,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,2,,rebalancing_features_normalization_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,7,2.152339220046997,success,0.09086661338806153,0.09_0.41_0.11_0.34_0.39,0.66_0.66_0.64_0.67_0.67,0.17810935974121095,0.2672629466894239,0.52,0.46,0.61,1.0,0.29,0.59,0.79,0.6619265323754033,1746724803.1669154,distance,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,200,2.0,,FunctionTransformer,,,93.31310534477234,success,0.2280348777770996,0.2_0.21_0.0_0.2_0.24,0.63_0.65_0.62_0.65_0.64,18.178702688217165,0.16852885377419483,0.38,0.58,0.57,0.97,0.22,0.65,0.74,0.6381566840363926,1746724800.9396605,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,158.04592609405518,success,0.020803213119506836,0.2_0.2_0.0_0.12_0.51,0.69_0.68_0.68_0.69_0.67,31.520872116088867,0.2076581358969519,0.5,0.54,0.55,1.0,0.21,0.58,0.65,0.6822409210684426,1746724707.5534225,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,5,1.2033863067626953,success,0.009887075424194336,0.36_0.33_0.0_0.3_0.17,0.69_0.69_0.68_0.69_0.68,0.16810302734375,0.23111484481823621,0.42,0.54,0.59,1.0,0.24,0.6,0.71,0.6856995222854542,1746724549.418728,,RandomForestClassifier,,,,,50,4,,4,2,3,,gini,True,,
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,SelectKBest,,4,27.009915828704834,success,0.09492759704589844,0.0_0.0_0.22_0.0_0.0,0.5_0.51_0.5_0.5_0.52,3.5176339626312254,0.04363636363636363,0.33,0.41,0.55,0.54,0.3,0.52,0.6,0.5065085533962497,1746724548.1436443,distance,KNeighborsClassifier,,,20,,,,euclidean,,,,,,,,
