rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,4.291534423828125e-06,already_evaluated,0.012392997741699219,0.0_0.0_0.0_0.0_0.0,0.72_0.72_0.72_0.73_0.73,0.8991691112518311,0.0,1.0,0.0,0.53,0.25,0.61,0.21,0.7257019268131429,1746702391.0260098,,RandomForestClassifier,,,,,10,4,,3,2,2,,gini,False,,
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,2.0,,PCA,4,,4.0531158447265625e-06,already_evaluated,0.9899529933929443,0.0_0.07_nan_nan_0.0,0.5_0.5_0.5_0.5_0.5,17.31317777633667,-inf,0.82,0.22,0.02,0.09,0.28,0.33,0.4996246833985724,1746702391.0879133,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,50,1.0,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,3.619212293624878,0.0_nan_0.0_0.54_0.0,0.5_0.5_0.5_0.52_0.5,6.3020120620727536,-inf,0.67,0.37,0.13,0.16,0.16,0.5,0.504189343300977,1746702391.1505363,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,5.245208740234375e-06,already_evaluated,0.01131596565246582,0.02_0.03_0.03_0.03_0.02,0.66_0.66_0.67_0.66_0.66,0.12255373001098632,0.02429381112303568,0.38,0.02,0.25,0.21,1.0,0.65,0.6615853346748451,1746702391.2152133,,RandomForestClassifier,,,,,25,3,,2,2,5,,entropy,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,50,2.0,,SelectKBest,,8,5.4836273193359375e-06,already_evaluated,0.023741483688354492,0.63_1.0_0.69_0.75_0.74,0.51_0.5_0.5_0.51_0.51,3.853888416290283,0.7616311844463894,0.89,0.89,0.83,0.93,0.91,0.85,0.5058530452729025,1746702391.2790134,,RandomForestClassifier,,,,,10,4,,2,2,3,,entropy,True,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,4,,4.5299530029296875e-06,already_evaluated,0.008692789077758788,0.72_0.28_0.27_0.63_0.7,0.57_0.61_0.6_0.58_0.57,0.4102803707122803,0.518831375181778,0.82,0.55,0.76,0.7,1.0,0.86,0.5864318488605061,1746702391.3466165,,RandomForestClassifier,,,,,10,6,,2,3,5,,gini,True,,
NearMiss,2,,features_normalization_mitigation_rebalancing_classification,,False,,True,RobustScaler,FunctionTransformer,,,,,PCA,4,,3.814697265625e-06,already_evaluated,0.12391862869262696,0.32_0.32_0.39_0.31_0.4,0.49_0.5_0.49_0.49_0.5,1.9677793502807617,0.3503986585811093,0.74,0.7,1.0,0.86,0.48,0.36,0.49241031396298984,1746702391.4142315,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.01,logistic
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,PCA,4,,4.76837158203125e-06,already_evaluated,0.009354877471923827,nan_0.0_0.0_nan_nan,0.5_0.52_0.52_0.5_0.5,0.3264028549194336,-inf,1.0,0.36,0.34,0.07,0.0,0.3,0.5074406315350215,1746702391.4826896,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
NearMiss,4,,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,6,4.0531158447265625e-06,already_evaluated,0.022690725326538087,0.01_0.02_0.03_0.01_0.02,0.75_0.75_0.75_0.75_0.75,0.35880537033081056,0.016388903888419494,1.0,0.03,0.69,0.02,0.98,0.03,0.752224952546168,1746702391.5529976,,RandomForestClassifier,,,,,100,2,,4,2,1,,gini,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,CorrelationRemover,,,,1.0,PCA,4,,4.5299530029296875e-06,already_evaluated,0.010659027099609374,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.3451193332672119,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746702391.6238625,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.0013580322265625e-05,already_evaluated,0.011857700347900391,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.8263294696807861,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746702391.6983497,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.0001,logistic
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.5,,PCA,4,,7.867813110351562e-06,already_evaluated,0.430141544342041,0.0_0.0_0.0_0.07_0.0,0.5_0.5_0.5_0.5_0.5,4.322996711730957,0.013488372093023258,0.54,0.1,0.21,0.03,0.27,0.2,0.5004337250044022,1746702391.775203,distance,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,9.775161743164062e-06,already_evaluated,0.08110952377319336,0.21_0.16_0.15_0.15_0.17,0.82_0.81_0.81_0.82_0.81,79.08806147575379,0.16885169259007132,0.93,0.29,0.59,0.17,1.0,0.46,0.8138867206877867,1746702391.8482642,,MLPClassifier,lbfgs,50,,5,,,,,,,adaptive,,,0.001,relu
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.00952320098876953,0.01_0.04_0.0_0.0_0.03,0.71_0.73_0.72_0.75_0.73,3.7109275341033934,0.013618837502716316,0.72,0.05,0.42,0.02,1.0,0.03,0.7278775510305835,1746702391.9254377,,MLPClassifier,sgd,10,,1,,,,,,,constant,,,0.001,tanh
SMOTE,,6,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.011621522903442382,0.18_0.15_0.18_0.24_0.21,0.76_0.76_0.75_0.76_0.76,0.224503755569458,0.19229301392377182,0.94,0.3,0.67,0.19,1.0,0.5,0.7589537869555485,1746702392.0017579,,RandomForestClassifier,,,,,10,4,,3,2,3,,entropy,True,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,PCA,4,,4.76837158203125e-06,already_evaluated,0.012499332427978516,0.46_0.51_0.5_0.5_0.42,0.64_0.6_0.61_0.6_0.61,1.4484355449676514,0.47678511218281194,0.64,0.52,0.49,0.56,1.0,0.92,0.6116129465350355,1746702392.0846927,,RandomForestClassifier,,,,,10,2,,3,2,4,,gini,False,,
