rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,10,5.09440541267395,success,0.00590362548828125,0.85_0.6_0.67_0.66_0.38,0.6_0.56_0.53_0.51_0.49,0.466096830368042,0.6328350737749967,0.71,1.0,0.72,0.82,0.5380952380952381,1746732906.591451,,MLPClassifier,adam,5,,5,,,,,,,constant,,,0.01,logistic
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.5,,PCA,5,,3.5068249702453613,fail,0.008537817001342773,0.0_0.0_nan_nan_0.0,0.5_0.5_0.5_0.5_0.5,0.6702678680419922,-inf,0.52,0.33,0.0,0.33,0.5004761904761905,1746732900.9811873,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,100,1.0,,PCA,7,,3.6148407459259033,success,0.009971332550048829,0.84_0.62_0.6_0.91_0.56,0.56_0.53_0.52_0.55_0.55,0.690743350982666,0.7045856934873003,0.73,0.98,0.85,0.79,0.5423809523809524,1746732890.1367383,,RandomForestClassifier,,,,,25,5,,4,1,1,,entropy,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.40465760231018066,success,0.038232040405273435,0.68_0.83_0.85_0.86_0.91,0.62_0.65_0.57_0.59_0.56,0.003937911987304687,0.8262673775663965,0.91,0.94,0.89,0.93,0.5978571428571428,1746732885.772992,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,CorrelationRemover,,,,1.0,SelectKBest,,5,0.2455124855041504,success,0.014519643783569337,0.63_0.84_0.93_0.88_0.78,0.61_0.64_0.59_0.61_0.6,0.006340742111206055,0.8141005615356203,0.95,0.98,0.85,0.91,0.6097619047619048,1746732884.8409178,uniform,KNeighborsClassifier,,,16,,,,euclidean,,,,,,,,
SMOTE,,8,mitigation_features_normalization_rebalancing_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,2.8314714431762695,fail,0.007405138015747071,nan_0.0_nan_nan_0.0,0.5_0.48_0.5_0.5_0.51,0.5348273754119873,-inf,0.2,1.0,0.0,0.12,0.49833333333333335,1746732884.0792077,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.001,tanh
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.5895326137542725,success,0.009933900833129884,0.84_0.39_0.83_0.77_0.59,0.56_0.55_0.53_0.56_0.52,0.8821696758270263,0.6832779042201208,0.73,0.98,0.78,0.86,0.544047619047619,1746732880.7359521,,RandomForestClassifier,,,,,75,6,,4,3,1,,gini,True,,
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,100,2.0,,PCA,4,,4.523975849151611,success,0.01013326644897461,0.95_0.63_0.69_0.51_0.74,0.53_0.57_0.52_0.5_0.54,0.8696073532104492,0.7051216691804928,0.83,0.93,0.77,0.87,0.5314285714285714,1746732875.6256812,,RandomForestClassifier,,,,,75,5,,2,3,4,,gini,True,,
SMOTE,,5,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,PCA,8,,4.10696268081665,success,0.007399320602416992,0.74_0.51_0.68_0.83_0.48,0.54_0.55_0.53_0.55_0.52,0.790858268737793,0.6477649541125252,0.73,0.94,0.74,0.86,0.5349999999999999,1746732870.5493817,,RandomForestClassifier,,,,,10,4,,4,2,3,,entropy,True,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.3292815685272217,success,0.027698993682861328,0.83_0.26_0.67_0.36_0.55,0.63_0.68_0.65_0.61_0.72,0.004482412338256836,0.5315265012765013,0.91,0.98,0.57,0.73,0.66,1746732865.9317217,uniform,KNeighborsClassifier,,,4,,,,manhattan,,,,,,,,
