rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,2.0,50,2.0,,FunctionTransformer,,,25.36627173423767,success,0.015064859390258789,0.57_0.47_0.72_0.74_0.3,0.64_0.64_0.62_0.62_0.64,5.015640735626221,0.559885185058907,0.77,0.76,0.87,1.0,0.6,0.88,0.78,0.6342616093766084,1746736446.9060583,,MLPClassifier,sgd,25,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,SelectKBest,,7,2.7117536067962646,success,0.012963294982910156,0.51_0.05_0.5_0.05_0.05,0.66_0.67_0.66_0.66_0.65,0.48509602546691893,0.23014854808917873,0.57,0.58,0.66,1.0,0.31,0.41,0.49,0.6594484228258297,1746736421.3713057,,RandomForestClassifier,,,,,100,5,,2,3,3,,entropy,False,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,1.0,50,0.1,,SelectKBest,,6,23.262161016464233,success,0.23256855010986327,0.0_0.0_0.13_0.0_0.0,0.52_0.53_0.52_0.5_0.5,2.9529230117797853,0.025563909774436087,0.59,0.65,0.73,0.82,0.2,0.7,0.79,0.515092272896284,1746736416.4704456,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,PCA,4,,17.109789848327637,success,0.23856959342956544,0.0_0.0_0.22_0.3_0.18,0.52_0.51_0.55_0.52_0.51,2.9473639011383055,0.14167535066932826,0.57,0.59,0.67,0.82,0.31,0.67,0.67,0.5217766819894143,1746736393.0407176,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,2.0,50,2.0,,PCA,1,,20.78745698928833,success,0.10178050994873047,0.0_0.0_0.37_0.72_0.57,0.5_0.51_0.5_0.51_0.5,3.9314437389373778,0.3318033506522437,0.68,0.9,0.8,0.97,0.49,0.72,0.81,0.50460166272748,1746736375.7662604,distance,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,200,0.1,,PCA,4,,20.437693119049072,success,0.2116002082824707,0.12_0.49_0.37_0.42_0.0,0.51_0.52_0.51_0.5_0.51,3.6377370357513428,0.27972039486153255,0.52,0.65,0.67,0.7,0.59,0.66,0.85,0.5122902981160105,1746736354.8089964,uniform,KNeighborsClassifier,,,19,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.5,PCA,4,,12.842697381973267,success,0.017013740539550782,0.46_0.12_0.19_0.16_0.04,0.65_0.65_0.66_0.66_0.63,2.4992754459381104,0.19371587228707737,0.36,0.39,0.49,1.0,0.2,0.34,0.31,0.6502371216638891,1746736334.1968083,,RandomForestClassifier,,,,,100,5,,6,4,4,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,4,,2.8378772735595703,success,0.007483816146850586,0.0_0.0_0.0_0.0_0.0,0.63_0.64_0.62_0.62_0.63,0.5227096557617188,0.0,0.41,0.5,0.66,1.0,0.0,0.09,0.17,0.6299319587228196,1746736321.192321,,RandomForestClassifier,,,,,25,5,,2,4,5,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,178.78148412704468,success,0.18401217460632324,0.47_0.48_0.8_0.76_0.33,0.63_0.64_0.63_0.62_0.64,35.351561307907104,0.5664556224377382,0.78,0.77,0.86,1.0,0.58,0.92,0.8,0.6312254076124992,1746736318.1499548,,MLPClassifier,lbfgs,50,,20,,,,,,,adaptive,,,0.0001,logistic
SMOTE,,5,mitigation_rebalancing_normalization_features_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,1.0,,SelectKBest,,3,22.65442681312561,success,0.019043970108032226,0.63_0.68_0.71_0.66_0.19,0.64_0.62_0.63_0.63_0.61,3.5436079025268556,0.5726379937383191,0.76,0.75,0.85,0.99,0.63,0.88,0.77,0.6279015186873769,1746736139.2073085,,RandomForestClassifier,,,,,75,5,,2,2,5,,gini,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,50,1.0,,FunctionTransformer,,,25.203733444213867,success,0.3677224159240723,0.5_0.49_0.0_0.33_0.23,0.51_0.53_0.51_0.5_0.51,4.278223896026612,0.3107062463518959,0.8,0.54,0.71,0.83,0.7,0.58,0.83,0.5132967348031199,1746736114.0396185,uniform,KNeighborsClassifier,,,19,,,,manhattan,,,,,,,,
SMOTE,,5,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,13.885372877120972,success,0.020209503173828126,0.43_0.6_0.73_0.58_0.47,0.63_0.62_0.63_0.62_0.64,2.7076168060302734,0.5637942643078317,0.76,0.73,0.81,0.98,0.6,0.88,0.77,0.6282115080009288,1746736088.6712785,,RandomForestClassifier,,,,,75,5,,6,3,5,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,10,2.38917875289917,success,0.005640697479248047,0.4_0.26_0.37_0.41_0.4,0.69_0.69_0.68_0.7_0.68,0.4321290969848633,0.369939575874282,0.58,0.64,0.67,1.0,0.37,0.56,0.63,0.6888402845342815,1746736074.616073,,MLPClassifier,lbfgs,5,,1,,,,,,,adaptive,,,1e-05,tanh
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.1,,FunctionTransformer,,,28.874006986618042,success,0.01876993179321289,0.44_0.51_0.88_0.71_0.34,0.64_0.64_0.58_0.61_0.62,5.710112190246582,0.5755816187089338,0.74,0.76,0.84,0.99,0.6,0.85,0.78,0.6181976744908994,1746736072.0770478,,MLPClassifier,sgd,25,,5,,,,,,,invscaling,,,1e-05,relu
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,166.80819869041443,success,0.02321615219116211,0.26_0.19_0.39_0.19_0.31,0.69_0.67_0.67_0.7_0.69,33.292359066009524,0.2661054058600649,0.78,0.74,0.71,1.0,0.27,0.5,0.51,0.6825241810719167,1746736043.0552425,,MLPClassifier,lbfgs,5,,20,,,,,,,constant,,,0.001,logistic
SMOTE,,5,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.9333961009979248,success,0.008531951904296875,0.24_0.53_0.49_0.21_0.42,0.64_0.65_0.66_0.66_0.63,0.33620586395263674,0.3794291591358842,0.51,0.52,0.54,1.0,0.38,0.69,0.76,0.6473193804736713,1746735876.1020844,,RandomForestClassifier,,,,,50,6,,2,4,4,,entropy,False,,
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,19.478652954101562,success,0.0206939697265625,0.59_0.46_0.71_0.58_0.32,0.63_0.61_0.61_0.63_0.64,3.824951982498169,0.5331751256380346,0.75,0.75,0.85,1.0,0.57,0.8,0.73,0.6251616381805596,1746735874.0241337,,RandomForestClassifier,,,,,100,6,,2,4,5,,entropy,False,,
