rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.0030261516571044923,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.011678791046142578,1.0,1.0,1.0,1.0,1.0,0.5,1746692653.7867074,,RandomForestClassifier,,,,,10,6,,5,1,2,,gini,False,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.009885501861572266,1.0_0.75_0.97_0.83_1.0,0.5_0.54_0.5_0.51_0.5,0.9644436836242676,0.9097701149425287,0.96,1.0,0.92,0.97,0.5109523809523809,1746692653.8718772,,RandomForestClassifier,,,,,50,3,,2,4,2,,gini,False,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.0048831462860107425,0.0_0.0_0.26_0.0_0.0,0.67_0.69_0.71_0.67_0.72,0.01955075263977051,0.05272727272727272,0.76,0.37,0.36,0.65,0.6916666666666667,1746692653.9518054,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
SMOTE,,7,features_normalization_mitigation_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,2.0,10,0.1,,SelectKBest,,6,5.4836273193359375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692654.0355558,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,9,5.4836273193359375e-06,already_evaluated,0.0046192646026611325,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.0863637924194336,1.0,1.0,1.0,1.0,1.0,0.5,1746692654.1127346,,MLPClassifier,sgd,5,,1,,,,,,,adaptive,,,0.0001,logistic
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,2,,1.0967254638671875e-05,already_evaluated,0.004120969772338867,0.82_0.71_0.8_0.67_0.75,0.54_0.57_0.52_0.58_0.52,0.15862035751342773,0.7498268398268398,0.86,0.86,0.88,0.81,0.5464285714285715,1746692654.192536,,MLPClassifier,lbfgs,5,,5,,,,,,,invscaling,,,0.0001,logistic
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,5.4836273193359375e-06,already_evaluated,0.005375432968139649,0.0_0.53_0.3_0.42_0.66,0.59_0.6_0.63_0.63_0.59,0.11602702140808105,0.3810207336523126,0.8,0.78,0.46,0.48,0.6088095238095239,1746692654.287226,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,4,,5.4836273193359375e-06,already_evaluated,0.0038630008697509766,0.78_0.52_0.86_0.61_0.51,0.57_0.62_0.53_0.58_0.53,0.07916221618652344,0.6567433358658269,0.78,0.85,0.85,0.77,0.5650000000000001,1746692654.3684494,,MLPClassifier,lbfgs,5,,1,,,,,,,adaptive,,,0.001,logistic
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,PCA,4,,4.0531158447265625e-06,already_evaluated,0.006767368316650391,0.55_0.5_0.46_0.45_0.26,0.62_0.57_0.63_0.52_0.58,0.029698276519775392,0.4447149657494485,0.71,0.76,0.65,0.65,0.5845238095238094,1746692654.4518578,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.009113740921020509,0.4_0.38_0.0_0.42_0.0,0.68_0.67_0.63_0.65_0.72,0.1371561050415039,0.23833333333333334,0.91,0.44,0.31,0.49,0.6676190476190476,1746692654.5339446,,RandomForestClassifier,,,,,100,4,,2,2,3,,gini,False,,
